Date,Close,High,Low,Open,Volume,MA5,MA20,RSI14
2025-09-17,1253.353515625,1263.261448554842,1253.353515625,1258.307482089921,29283972,1245.4349853515625,1178.3028259277344,69.65194043135855
2025-09-18,1273.1693115234375,1273.1693115234375,1253.3534467526447,1263.261379138041,24191307,1255.3310791015624,1185.2176574707032,72.60664255094395
2025-09-19,1253.353515625,1278.1233479496047,1253.353515625,1273.1693814846838,44913316,1257.316650390625,1191.8818298339843,65.71630359672531
2025-09-22,1283.0771484375,1283.0771484375,1258.3073193170849,1258.3073193170849,28859955,1266.2337646484375,1198.3052062988281,70.2733663888939
2025-09-23,1327.6629638671875,1327.6629638671875,1302.8931324517548,1307.8470987348414,33953781,1278.123291015625,1206.711163330078,75.5280389090992
2025-09-24,1327.6629638671875,1342.5248627164472,1312.8010650179278,1337.5708964333605,44737182,1292.9851806640625,1214.3769836425781,75.5280389090992
2025-09-25,1307.8470458984375,1317.7549780643349,1307.8470458984375,1307.8470458984375,25861812,1299.9207275390625,1222.532275390625,69.22101154848241
2025-09-26,1288.03125,1302.8931490384616,1283.0772836538463,1297.9391826923077,25793295,1306.8562744140625,1229.69677734375,63.50966712507907
2025-09-30,1292.9852294921875,1307.8471286817528,1292.9852294921875,1297.9391958887093,36642789,1308.837890625,1236.8622680664062,64.3026499034209
2025-10-01,1312.801025390625,1337.5708560583726,1312.801025390625,1312.801025390625,33837323,1305.8655029296874,1245.2652587890625,67.35828119613086
2025-10-02,1352.4327392578125,1357.3867053356798,1342.5248071020776,1347.478773179945,29593487,1310.8194580078125,1255.649835205078,72.43950180579088
2025-10-03,1387.1104736328125,1387.1104736328125,1352.4327117919922,1352.4327117919922,31032341,1326.6721435546874,1267.7682983398438,75.9650793386975
2025-10-07,1421.7882080078125,1431.696139770933,1406.9263103631315,1406.9263103631315,38395572,1353.42353515625,1280.6338012695312,78.87525594515986
2025-10-08,1401.972412109375,1406.9263782299029,1392.0644798683193,1397.0184459888471,23064494,1375.2209716796874,1292.5085144042969,73.40570168603901
2025-10-09,1426.7421875,1441.6040852864583,1416.834255642361,1426.7421875,39052134,1398.0092041015625,1304.6348754882813,75.67627949654481
2025-10-13,1401.972412109375,1406.9263782299029,1377.202581506736,1377.202581506736,53850992,1407.917138671875,1314.2891906738282,69.30405345554146
2025-10-14,1411.88037109375,1446.5581345942983,1406.926404879386,1441.6041683799342,39889256,1412.8711181640624,1323.6987670898438,70.3785010719008
2025-10-15,1451.51220703125,1451.51220703125,1411.8804744160623,1421.7884075698591,41056405,1418.81591796875,1334.103094482422,74.25967354213559
2025-10-16,1471.3280029296875,1481.2359356093486,1451.5121375703652,1451.5121375703652,37737678,1432.6870361328124,1345.7449157714843,75.95601899702146
2025-10-17,1436.6502685546875,1451.5121678845637,1436.6502685546875,1441.6042349979796,38077331,1434.66865234375,1354.1666625976563,67.56446368968494
2025-10-20,1466.3740234375,1481.2359223236908,1441.6041919605152,1446.558158255912,33015553,1447.548974609375,1364.8176879882812,70.56614795240327
2025-10-21,1466.3740234375,1486.1898886190877,1466.3740234375,1471.3279897328969,34601251,1458.447705078125,1374.4779235839844,70.56614795240327
2025-10-22,1446.5582275390625,1456.4661606043985,1441.6042610063944,1446.5582275390625,27360948,1457.4569091796875,1384.1381591796876,65.85415813603085
2025-10-23,1436.6502685546875,1441.6042349979796,1421.7883692248115,1426.7423356681036,23570046,1450.5213623046875,1391.8168151855468,63.56852039641203
2025-10-27,1466.3740234375,1486.1898886190877,1466.3740234375,1486.1898886190877,32851952,1456.46611328125,1398.7523681640625,67.24175736087439
2025-10-28,1461.4200439453125,1476.2819426972987,1456.4660776946505,1466.3740101959745,28381919,1455.4753173828126,1405.4402221679688,66.04651153222562
2025-10-29,1491.143798828125,1501.0517310462521,1476.2819005009344,1481.235866609998,30631103,1460.4292724609375,1414.6050598144532,69.54449777646425
2025-10-30,1491.143798828125,1506.0056971553156,1486.1898327190615,1501.0517310462521,27867757,1469.34638671875,1424.7606872558595,69.54449777646425
2025-10-31,1486.18994140625,1510.9597737630208,1486.18994140625,1501.0518408203125,31928423,1479.2543212890625,1434.4209228515624,68.18667708978538
2025-11-03,1496.0977783203125,1506.0057106270697,1476.2819137067984,1496.0977783203125,29118770,1485.199072265625,1443.585760498047,69.47054041317605
2025-11-04,1491.143798828125,1510.9596632643793,1481.235866609998,1506.0056971553156,33925673,1491.1438232421874,1450.5213134765625,67.99301787296793
2025-11-05,1446.5582275390625,1471.3280602024026,1441.6042610063944,1466.3740936697345,56305422,1482.226708984375,1453.493701171875,56.372498565247895
